City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,inhambane,-23.865,35.3833,22.95,81,1,2.88,MZ,1705896992
118,okhotsk,59.3833,143.3,-32.34,82,2,4.07,RU,1705896992
119,lisakovsk,52.5369,62.4936,-12.74,92,96,3.86,KZ,1705896993
120,fort bragg,35.139,-79.006,-2.67,71,0,0.0,US,1705896993
121,kerikeri,-35.2268,173.9474,22.36,87,99,1.84,NZ,1705896994
122,el galpon,-25.3807,-64.6526,18.85,97,100,1.0,AR,1705896994
123,longyearbyen,78.2186,15.6401,-6.09,49,0,7.2,SJ,1705896994
124,antsiranana,-12.2787,49.2917,26.21,84,100,7.34,MG,1705896995
125,puerto ayora,-0.7393,-90.3518,25.86,98,48,2.24,EC,1705896995
126,keflavik,64.0049,-22.5624,-4.76,80,0,11.32,IS,1705896995
127,west island,-12.1568,96.8225,28.99,89,40,3.09,CC,1705896996
128,bathsheba,13.2167,-59.5167,26.34,83,40,8.23,BB,1705896996
129,mar del plata,-38.0023,-57.5575,19.93,78,0,6.26,AR,1705896996
130,afaahiti,-17.75,-149.2833,22.93,78,100,8.34,PF,1705896997
131,saint-pourcain-sur-sioule,46.3093,3.2879,3.95,88,94,4.13,FR,1705896997
132,saint-georges,12.0564,-61.7485,26.82,78,20,5.66,GD,1705896998
133,puerto armuelles,8.2833,-82.8667,27.87,71,56,2.24,PA,1705896998
134,kostroma,57.7708,40.9344,-22.66,98,69,3.13,RU,1705896790
135,avarua,-21.2078,-159.775,26.03,73,100,3.6,CK,1705896999
136,kristinestad,62.2743,21.376,0.05,94,100,7.83,FI,1705896999
137,lensk,60.7253,114.9278,-11.71,90,100,7.76,RU,1705896999
138,puerto cabezas,14.0351,-83.3888,24.78,88,47,5.2,NI,1705897000
139,nemuro,43.3236,145.575,-1.21,67,89,6.47,JP,1705897000
140,hithadhoo,-0.6,73.0833,28.64,74,18,4.35,MV,1705897001
141,kharan,28.5833,65.4167,14.02,29,0,1.56,PK,1705897001
142,ulladulla,-35.35,150.4667,23.2,66,36,5.28,AU,1705896786
143,galveston,29.3669,-94.9669,9.44,85,100,0.45,US,1705897002
144,portland,45.5234,-122.6762,9.24,95,100,7.2,US,1705896891
145,tangalle,6.024,80.7911,27.51,67,5,5.02,LK,1705897003
146,cabo san lucas,22.8909,-109.9124,21.61,75,100,0.89,MX,1705896834
147,talnakh,69.4865,88.3972,-10.44,94,100,3.99,RU,1705897003
148,i-n-salah,27.1935,2.4607,13.88,50,0,6.21,DZ,1705897004
149,mata-utu,-13.2816,-176.1745,29.22,72,77,1.55,WF,1705897004
150,queenstown,-31.8976,26.8753,15.51,77,0,1.46,ZA,1705897004
151,hawaiian paradise park,19.5933,-154.9731,23.73,87,100,5.66,US,1705897004
152,tallkayf,36.4894,43.1192,12.12,67,100,2.4,IQ,1705897005
153,port lincoln,-34.7333,135.8667,22.39,56,10,5.06,AU,1705897005
154,pangody,65.85,74.4859,-8.86,94,100,7.98,RU,1705897006
155,atkinson,42.8384,-71.147,-6.51,59,0,4.02,US,1705897006
156,olonkinbyen,70.9221,-8.7187,-1.98,85,100,9.56,SJ,1705897006
157,kostel,42.8887,25.995,-10.84,81,6,0.81,BG,1705897007
158,aldan,58.6031,125.3894,-14.25,94,100,5.37,RU,1705897007
159,tura,25.5198,90.2201,20.16,39,2,0.36,IN,1705896982
160,labrador city,52.9463,-66.9114,-20.05,71,75,3.09,CA,1705897008
161,carutapera,-1.195,-46.02,26.11,86,11,2.61,BR,1705897009
162,kloulklubed,7.0419,134.2556,30.28,75,99,8.25,PW,1705897009
163,ugoofaaru,5.6667,73.0,27.86,81,10,6.98,MV,1705897010
164,zyryanskoye,56.8306,86.6258,-20.85,97,57,1.62,RU,1705897010
165,xicotencatl,23.0167,-98.8833,16.95,87,100,0.77,MX,1705897011
166,shasta lake,40.6804,-122.3708,12.82,94,100,0.89,US,1705897011
167,horta,38.5333,-28.6333,17.23,96,56,8.49,PT,1705897012
168,palangkaraya,-2.2,113.8333,30.61,69,95,1.2,ID,1705897012
169,noosa heads,-26.3833,153.15,37.41,69,1,5.39,AU,1705897013
170,zeya,53.75,127.2667,-25.84,86,62,1.03,RU,1705896998
171,kashmar,35.2383,58.4656,6.75,31,1,1.53,IR,1705897013
172,arraial do cabo,-22.9661,-42.0278,24.31,88,7,5.76,BR,1705897013
173,brisas de zicatela,15.8369,-97.0419,25.81,71,49,2.75,MX,1705897014
174,bikenibeu village,1.3673,173.1241,31.98,70,75,3.09,KI,1705897014
175,liwale,-9.7667,37.9333,20.85,96,100,1.45,TZ,1705897015
176,el limon,10.3059,-67.6321,22.15,86,12,1.44,VE,1705897015
177,jamestown,42.097,-79.2353,-5.23,91,0,2.06,US,1705897015
178,ta`u,-14.2336,-169.5144,28.96,71,45,3.62,AS,1705897016
179,sultanah,24.4926,39.5857,18.25,39,0,2.57,SA,1705897016
180,gustine,37.2577,-120.9988,15.05,86,100,1.79,US,1705897017
181,walvis bay,-22.9575,14.5053,19.49,93,44,1.67,NA,1705897018
182,klyuchi,52.2667,79.1667,-17.94,91,5,2.41,RU,1705897018
183,nantucket,41.2835,-70.0995,-3.25,54,0,6.69,US,1705897019
184,san patricio,28.017,-97.5169,14.92,99,100,1.38,US,1705897019
